,name,p_np,smile,ExactMass,CID,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,XLogP
24,sufentanil,1,CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,386.20279938,41693.0,459.0,0.0,0.0,4.0,4.0
25,12,0,CCNC(=NC#N)NCCSCc1c(cccn1)Br,-1,,,,,,
26,zolpidem,1,CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,307.168462302,5732.0,417.0,0.0,0.0,2.0,2.5
27,clozapine,1,CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,326.1298243,135398737.0,446.0,0.0,1.0,3.0,3.1
28,Org12692,1,FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,265.0593595,9796408.0,256.0,0.0,1.0,6.0,2.5
29,piperacillin,1,O.CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,535.17368407,73246.0,982.0,0.0,4.0,9.0,
30,Pentobarbital,1,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.13174244,4737.0,305.0,0.0,2.0,3.0,2.1
31,Levofloxacin,1,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,361.14378429,149096.0,634.0,0.0,1.0,8.0,-0.4
32,compound 40,1,c1ccc(C(NCCCOc2cc(CN3CCCCC3)ccc2)=O)cc1,352.215078140,10498206.0,403.0,0.0,1.0,3.0,3.8
33,RO19-4603,1,CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C,319.09906259,127382.0,479.0,0.0,0.0,5.0,1.9
34,fentanyl,1,CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,336.220163521,3345.0,391.0,0.0,0.0,2.0,4.0
35,etomidate,1,CCOC(=O)c1cncn1C(C)c2ccccc2,244.121177757,36339.0,277.0,0.0,0.0,3.0,3.0
36,11a,0,CN(C)c1cc(C2=NC(N)=NN2)ccn1,204.11234441,12889418.0,209.0,0.0,2.0,5.0,0.9
37,prochlorperazine,1,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,373.1379466,4917.0,429.0,0.0,0.0,4.0,4.9
38,2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole,1,IC1=C(N([H])[H])C=CC(C2=NC3=CC=C(O[H])C=C3S2)=C1,367.94803,10451635.0,307.0,0.0,2.0,4.0,3.7
39,compound 34,0,O=C(C)Nc1cc(c2csc(N=C(N)N)n2)ccc1,275.08408123,14022511.0,358.0,0.0,3.0,4.0,0.9
40,granisetron,1,CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,312.19501140,5284566.0,442.0,0.0,1.0,3.0,2.8
41,thiamphenicol,1,C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,355.0047991,27200.0,443.0,0.0,3.0,5.0,-0.3
42,16,1,c1ccc(cc1)c1csc(n1)N=C(N)N,218.06261751,3763607.0,234.0,0.0,2.0,3.0,1.8
43,mexiletine,1,CC(N)COc1c(C)cccc1C,179.131014166,4178.0,139.0,0.0,1.0,2.0,2.1
44,dextropropoxyphene,1,CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,339.219829168,10100.0,397.0,0.0,0.0,3.0,4.2
45,Nor-1-chlorpromazine,1,ClC1=CC=C(C2=C1)SC3=C(N2CCCNC)C=CC=C3,304.0800974,62875.0,315.0,0.0,1.0,3.0,4.7
46,compound 37,1,CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1,-1,0.0,,,,,
47,cefamandole,1,Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(O)=O,462.07801004,456255.0,777.0,0.0,3.0,10.0,-0.9
48,Y-G 15,1,n(ccc1)c(c1)CCN(C)C,150.115698455,80554.0,102.0,0.0,0.0,2.0,0.8
49,Org13011,1,O=C1N(CCC1)CCCCN2CCN(CC2)c3cc(C(F)(F)F)ccn3,370.19804592,9907401.0,466.0,0.0,0.0,7.0,2.3
50,Quinidine,1,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,324.183778013,441074.0,457.0,0.0,1.0,4.0,2.9
51,38480,1,c1(ccccc1)CC,106.078250319,7500.0,51.0,0.0,0.0,0.0,3.1
52,17,1,c1ccc(cc1N)c1csc(n1)N=C(N)N,233.07351655,14022509.0,266.0,0.0,3.0,4.0,1.1
53,vinblastine,1,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,810.42037944,241903.0,1700.0,0.0,3.0,12.0,3.7
54,Bacitracin,1,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,336.20490738,1978.0,401.0,0.0,3.0,5.0,1.7
55,Nor-2-chlorpromazine,1,ClC1=CC=C(SC(C=CC=C2)=C2N3CCCN)C3=C1,290.0644474,74981.0,302.0,0.0,1.0,3.0,4.2
56,compound 36,1,CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1,414.17256188,14022484.0,499.0,0.0,2.0,6.0,4.4
57,19,0,CNC(=NC#N)Nc1cccc(c1)c1csc(n1)N=C(N)N,-1,,,,,,
58,Y-G 14,1,n(ccc1)c(c1)CCNC,136.100048391,2366.0,83.0,0.0,1.0,2.0,0.4
59,15,1,O=N([O-])C1=C(CN=C1NCCSCc2ncccc2)Cc3ccccc3,-1,0.0,,,,,
60,sertraline,1,[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+],341.050483,50986904.0,322.0,0.0,2.0,2.0,
61,22767,1,c1(nc(NC(N)=[NH2])sc1)CSCCNC(=[NH]C#N)NC,-1,,,,,,
62,vincristine,1,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,824.39964400,5978.0,1750.0,0.0,3.0,12.0,2.8
63,SB-222200,1,CCC(NC(=O)c1c(c(nc2c1cccc2)c1ccccc1)C)c1ccccc1,380.188863393,3946663.0,523.0,0.0,1.0,2.0,5.9
64,SB-656104-A,1,ClC1=CC=CC(OC2CCN(CCC3CCCN3S(C4=CC(N([H])C=C5)=C5C=C4)(=O)=O)CC2)=C1,-1,0.0,,,,,
65,compound 38,1,CN(C)Cc1ccnc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)c1,-1,0.0,,,,,
66,maprotiline,1,CNCCCC12CCC(c3ccccc13)c4ccccc24,277.183049738,4011.0,339.0,0.0,1.0,1.0,4.6
67,compound 43,1,N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1,331.17183360,14022497.0,325.0,0.0,1.0,5.0,4.5
68,MIL-663581,0,OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,373.0941671,10384745.0,565.0,0.0,1.0,6.0,1.0
69,cefotaxime,1,[Na+].CO\N=C(C(=O)N[C@@H]1[C@@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3,477.03888450,66509087.0,839.0,0.0,2.0,12.0,
70,carbamazepine-10,1,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,252.089877630,2555.0,358.0,0.0,1.0,2.0,1.3
71,Cyclohexane,1,C1CCCCC1,84.093900383,8078.0,15.0,0.0,0.0,0.0,3.4
72,2,1,Cc1csc(n1)N=C(N)N,156.04696745,2776666.0,143.0,0.0,2.0,3.0,0.5
73,SKF89124,1,CCCN(CCc1c2c(c(cc1)O)NC(=O)C2)CCC,276.183778013,133741.0,316.0,0.0,2.0,3.0,2.3
74,Org5222,1,Clc1cc2c(Oc3ccccc3C3CN(CC32)C)cc1,285.0920418,9903970.0,363.0,0.0,0.0,2.0,3.8
75,compound 35,0,CN(C)Cc1oc(CSCCNC2C([N+]([O-])=O)=CC=N2)cc1,-1,0.0,,,,,
76,cefuroxime,1,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3,-1,,,,,,
77,compound 45,1,N1(Cc2cc(OCCCNc3oc4ccccc4n3)ccc2)CCCCC1,365.21032711,14022499.0,430.0,0.0,1.0,5.0,4.8
78,Org4428,1,OC12c3c(Oc4c(C)cccc4C2CN(CC1)C)cccc3,295.157228913,9860946.0,414.0,0.0,1.0,3.0,2.8
79,compound 32,1,[O-][N+](C1=CC=NC1NCCSCc2ccccn2)=O,-1,0.0,,,,,
80,Bretyliumtosilate,1,c12c(nc([nH]1)NC(OC)=O)cc(SCCC)cc2,265.08849790,2082.0,291.0,0.0,2.0,4.0,2.9
81,Y-G 20,0,c1cccn2c1nc(c2)CCN,161.095297364,7536516.0,149.0,0.0,1.0,2.0,1.1
82,ornidazole,1,Cc1ncc(n1CC(O)CCl)[N+]([O-])=O,219.0410689,28061.0,211.0,0.0,1.0,4.0,0.6
83,SKF101468,1,CCCN(CCc1c2c(ccc1)NC(=O)C2)CCC,260.188863393,5095.0,287.0,0.0,1.0,2.0,2.7
84,Org30526,1,Clc1cc2c(Oc3ccccc3C3CNCC32)cc1,271.0763918,14577084.0,337.0,0.0,1.0,2.0,3.3
85,36,1,CN(CCC=C1c2ccccc2CCc2ccccc12)C,277.183049738,2160.0,331.0,0.0,0.0,1.0,5.0
86,ceftriaxone,1,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC3=NC(=O)C(=O)NN3C)/c4csc(N)n4,-1,,,,,,
87,compound 42,1,N1(Cc2cccc(OCCCNc3ccccn3)c2)CCCCC1,325.215412493,10019237.0,333.0,0.0,1.0,4.0,4.4
88,Org32104,1,OC12c3c(Oc4c(C)cccc4C2CNCC1)cccc3,281.141578849,22154175.0,387.0,0.0,2.0,3.0,2.3
89,compound 31,1,[O-][N+](C1=CC=NC1NCCSCc2ncccc2Br)=O,-1,0.0,,,,,
90,SB204457,1,c12c3c(C(NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC,399.16818752,2833.0,740.0,0.0,1.0,6.0,1.0
91,compound 41,1,C1CCN(CC1)Cc1cc(OCCCO)ccc1,249.172878976,10444765.0,217.0,0.0,1.0,3.0,2.8
92,clomethiazole,1,Cc1ncsc1CCCl,161.0065981,10783.0,89.0,0.0,0.0,2.0,2.1
93,celiprolol,1,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,379.24710654,2663.0,474.0,0.0,3.0,5.0,1.9
95,33,1,CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C,357.0992525,129710.0,521.0,0.0,0.0,5.0,2.4
96,cefoxitin,1,CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C(O)=O)COC(N)=O,427.05079224,441199.0,744.0,0.0,3.0,9.0,0.0
97,Org34167,1,NC(CC=C)c1ccccc1c2noc3c2cccc3,264.126263138,9861160.0,333.0,0.0,1.0,3.0,3.4
98,9-OH Risperidone,1,OC1C(N2CCC1)=NC(C)=C(CCN3CCC(CC3)c4c5ccc(F)cc5on4)C2=O,426.20671890,115237.0,764.0,0.0,1.0,7.0,2.2
99,acetaminophen,1,CC(=O)Nc1ccc(O)cc1,151.063328530,1983.0,139.0,0.0,2.0,2.0,0.5
100,acetylsalicylate,0,CC(=O)Oc1ccccc1C(O)=O,180.04225873,2244.0,212.0,0.0,1.0,4.0,1.2
101,allopurinol,0,O=C1N=CN=C2NNC=C12,136.03851076,135401907.0,190.0,0.0,2.0,3.0,-0.7
102,Alprostadil,0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-1,,,,,,
103,aminophylline,0,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,420.19819929,9433.0,273.0,0.0,4.0,8.0,
104,Amiodarone,0,CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,645.02369,2157.0,547.0,0.0,0.0,4.0,7.6
105,amoxicillin,0,O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,419.13623594,62883.0,590.0,0.0,7.0,10.0,
106,ampicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,349.10962727,6249.0,562.0,0.0,3.0,6.0,-1.1
107,androsan,0,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,302.224580195,6010.0,550.0,0.0,1.0,2.0,3.4
108,oxaflumazine,1,OC(=O)CCC(O)=O.FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCC5OCCCO5)CC4)c2c1,625.24334160,424893.0,751.0,0.0,2.0,13.0,
109,oxazepam,1,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,286.0509053,4616.0,407.0,0.0,2.0,3.0,2.2
110,oxiperomide,1,O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,337.17902698,68634.0,444.0,0.0,1.0,3.0,3.6
111,oxycodone,1,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,315.14705815,5284603.0,553.0,0.0,1.0,5.0,1.2
112,oxymorphone,1,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35,301.13140809,5284604.0,539.0,0.0,2.0,5.0,0.8
113,pecazine,1,CN1CCCC(C1)CN2c3ccccc3Sc4ccccc24,310.15036988,6075.0,352.0,0.0,0.0,3.0,5.6
114,pemoline,1,NC1=NC(=O)C(O1)c2ccccc2,176.058577502,4723.0,244.0,0.0,1.0,2.0,0.9
115,pentazocine,1,C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,285.209264485,9669.0,414.0,0.0,1.0,2.0,3.3
116,Ethionamide,1,CCc1cc(ccn1)C(N)=S,166.05646950,2761171.0,147.0,0.0,1.0,2.0,1.1
117,Etoposide,0,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,588.18429107,6419930.0,969.0,0.0,3.0,13.0,0.6
118,Famotidine,1,NC(N)=Nc1scc(CSCCC(N)=N[S](N)(=O)=O)n1,337.04493627,3325.0,469.0,0.0,4.0,8.0,-0.6
119,Fluconazole,1,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,306.10406535,3365.0,358.0,0.0,1.0,7.0,0.4
120,Foscarnetsodium,1,[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,191.91764294,44561.0,103.0,0.0,0.0,5.0,
121,Gabapentin,1,NCC1(CCCCC1)CC(O)=O,171.125928785,3446.0,162.0,0.0,2.0,3.0,-1.1
122,Nafcillin,0,[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O,436.10688723,23667630.0,705.0,0.0,1.0,6.0,
123,Nalidixicacid,0,CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,232.08479225,4421.0,378.0,0.0,1.0,5.0,1.4
124,Nelfinavir,0,Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,567.31307810,64143.0,830.0,0.0,4.0,6.0,5.7
125,Astemizole,0,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,458.24818979,2247.0,599.0,0.0,1.0,5.0,6.0
126,atropine,0,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,289.16779360,3661.0,353.0,0.0,1.0,4.0,1.8
127,Auxeomycin,0,[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],-1,,,,,,
128,Betamethasone,0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.19990218,9782.0,805.0,0.0,3.0,6.0,1.9
129,carbenicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O,378.08855747,20824.0,645.0,0.0,3.0,7.0,1.1
130,carbidopa,0,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,226.09535693,34359.0,261.0,0.0,5.0,6.0,-2.2
131,carteolol,0,CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,292.17869263,2583.0,354.0,0.0,3.0,4.0,1.0
132,Cefazolin,0,[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,476.01195873,23675322.0,746.0,0.0,1.0,12.0,
133,cephapirin,0,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,423.05587762,30699.0,707.0,0.0,2.0,9.0,-1.1
134,chlorambucil,0,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,303.0792842,2708.0,250.0,0.0,1.0,3.0,1.7
135,pergolide,1,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,314.18167001,47811.0,388.0,0.0,1.0,2.0,4.2
136,perlapine,1,CN1CCN(CC1)C2=Nc3ccccc3Cc4ccccc24,291.173547683,16106.0,411.0,0.0,0.0,2.0,2.8
137,perphenazine-HCl,1,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,403.1485113,4748.0,463.0,0.0,1.0,5.0,4.2
138,pethidine,1,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,247.157228913,4058.0,276.0,0.0,0.0,3.0,2.5
139,phencyclidine,1,C1CCN(CC1)C2(CCCCC2)c3ccccc3,243.198699802,6468.0,242.0,0.0,0.0,1.0,3.6
140,phenelzine sulfate,1,NNCCc1ccccc1.O[S](O)(=O)=O,234.06742811,61100.0,159.0,0.0,4.0,6.0,
141,phenobarbital,1,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,232.08479225,4763.0,339.0,0.0,2.0,3.0,1.5
142,phenprobamate,1,NC(=O)OCCCc1ccccc1,179.094628657,4770.0,153.0,0.0,1.0,2.0,2.0
143,physostigmine,1,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,275.16337692,5983.0,403.0,0.0,1.0,4.0,0.7
144,Norepinephrine,0,NCC(O)c1ccc(O)c(O)c1,169.07389321,951.0,142.0,0.0,4.0,4.0,-1.2
145,Omeprazole,0,COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C,345.11471265,4594.0,453.0,0.0,1.0,6.0,2.2
146,Oxacillin,0,Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,401.10454189,6196.0,681.0,0.0,2.0,7.0,2.4
147,Pentostatin,1,OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23,268.11715500,439693.0,356.0,0.0,4.0,6.0,-2.1
148,Phenoxymethylpenicillin,0,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O,349.08581782,6426739.0,541.0,-1.0,1.0,6.0,2.7
149,chloramphenicol,0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,322.0123269,298.0,342.0,0.0,3.0,5.0,1.1
150,chlorothiazide,0,N[S](=O)(=O)c1cc2c(NC=N[S]2(=O)=O)cc1Cl,294.9488257,2720.0,532.0,0.0,2.0,6.0,-0.2
151,chlorpropamide,0,CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,276.0335411,2727.0,345.0,0.0,2.0,3.0,2.3
152,Chlortetracycline,0,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-1,,,,,,
153,chlorthalidone,0,N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,338.0128057,2732.0,564.0,0.0,3.0,5.0,0.9
154,clofibrate,0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,242.0709720,2796.0,232.0,0.0,0.0,3.0,3.3
155,clofibric acid,0,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,214.0396719,2797.0,207.0,0.0,1.0,3.0,2.6
156,clotrimazole,0,Clc1ccccc1C(n2ccnc2)(c3ccccc3)c4ccccc4,344.1080262,2812.0,396.0,0.0,0.0,1.0,5.0
157,corticosterone,0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,346.21440943,5753.0,638.0,0.0,2.0,4.0,1.9
158,Cortisone,0,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@H]23,360.19367399,222786.0,724.0,0.0,2.0,5.0,1.5
159,piflutixol,1,OCC[C@@H]1CCN(CC\C=C2/c3ccc(F)cc3Sc4ccc(cc24)C(F)(F)F)CC1,-1,,,,,,
160,pimozide,1,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,461.22786888,16362.0,632.0,0.0,1.0,4.0,6.3
161,pinoxepin,1,OCCN1CCN(CC\C=C/2c3ccccc3COc4ccc(Cl)cc24)CC1,-1,,,,,,
162,pipamperone,1,NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N3CCCCC3,375.23220537,4830.0,506.0,0.0,1.0,5.0,2.0
163,prazepam,1,Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1,324.1029409,4890.0,482.0,0.0,0.0,2.0,3.6
164,pregnanolone,1,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,318.255880323,31402.0,500.0,0.0,1.0,2.0,4.9
165,primidone,1,CCC1(C(=O)NCNC1=O)c2ccccc2,218.105527694,4909.0,279.0,0.0,2.0,2.0,0.9
166,procaine,1,CCN(CC)CCOC(=O)c1ccc(N)cc1,236.152477885,4914.0,222.0,0.0,1.0,4.0,1.9
